wavelength_nm,cie_v_lambda,bpw34_relative_response
569.42,0.95556,0.33312
569.62,0.95433,0.33346
569.83,0.95304,0.33383
570.03,0.9518,0.33417
570.23,0.95049,0.33451
570.43,0.94918,0.33486
570.63,0.94787,0.3352
570.83,0.94656,0.33554
571.03,0.94524,0.33589
571.23,0.94385,0.33623
571.43,0.94246,0.33658
571.63,0.94107,0.33692
571.83,0.93968,0.33726
572.03,0.93828,0.33761
572.23,0.93681,0.33795
572.44,0.93527,0.33831
572.64,0.9338,0.33866
572.84,0.93234,0.339
573.04,0.93085,0.33934
573.24,0.92931,0.33969
573.44,0.92777,0.34003
573.64,0.92623,0.34038
573.84,0.92469,0.34072
574.04,0.92314,0.34106
574.24,0.92152,0.34141
574.44,0.91991,0.34175
574.64,0.9183,0.34209
574.84,0.91669,0.34244
575.04,0.91506,0.34278
575.24,0.91339,0.34313
575.44,0.91171,0.34347
575.64,0.91003,0.34381
575.84,0.90835,0.34416
576.04,0.90666,0.3445
576.24,0.90491,0.34484
576.44,0.90317,0.34519
576.64,0.90142,0.34553
576.85,0.89959,0.34589
577.05,0.89782,0.34624
577.25,0.89601,0.34658
577.45,0.89419,0.34693
577.65,0.89238,0.34727
577.85,0.89057,0.34761
578.05,0.88873,0.34796
578.25,0.88685,0.3483
578.45,0.88496,0.34864
578.65,0.88308,0.34899
578.85,0.8812,0.34933
579.05,0.87929,0.34968
579.25,0.87734,0.35002
579.45,0.87538,0.35036
579.65,0.87342,0.35071
579.85,0.87147,0.35105
580.05,0.86949,0.35139
580.25,0.86747,0.35174
580.45,0.86544,0.35208
580.65,0.86341,0.35243
580.85,0.86138,0.35277
581.05,0.85934,0.35311
581.25,0.85724,0.35346
581.45,0.85515,0.3538
581.65,0.85306,0.35415
581.85,0.85096,0.35449
582.05,0.84885,0.35483
582.25,0.8467,0.35518
582.45,0.84455,0.35552
582.65,0.84239,0.35586
582.85,0.84024,0.35621
583.05,0.83807,0.35655
583.25,0.83586,0.3569
583.45,0.83365,0.35724
583.65,0.83145,0.35758
583.85,0.82924,0.35793
584.05,0.82702,0.35827
584.25,0.82476,0.35862
584.44,0.82262,0.35894
584.64,0.82036,0.35929
584.84,0.81811,0.35963
585.04,0.81584,0.35997
585.24,0.81354,0.36032
585.44,0.81124,0.36066
585.64,0.80894,0.361
585.84,0.80664,0.36135
586.04,0.80433,0.36169
586.24,0.80198,0.36204
586.44,0.79964,0.36238
586.64,0.7973,0.36272
586.84,0.79496,0.36307
587.04,0.79261,0.36341
587.24,0.79023,0.36376
587.44,0.78785,0.3641
587.64,0.78547,0.36444
587.84,0.78309,0.36479
588.04,0.78071,0.36513
588.24,0.7783,0.36547
588.44,0.7759,0.36582
588.64,0.77349,0.36616
588.83,0.7712,0.36649
589.03,0.76879,0.36683
589.23,0.76636,0.36718
589.43,0.76393,0.36752
589.63,0.7615,0.36786
589.83,0.75907,0.36821
590.03,0.75663,0.36855
590.23,0.75418,0.3689
590.43,0.75173,0.36924
590.63,0.74929,0.36958
590.83,0.74684,0.36993
591.03,0.74438,0.37027
591.23,0.74192,0.37062
591.42,0.73957,0.37094
591.62,0.73711,0.37129
591.82,0.73464,0.37163
592.02,0.73217,0.37197
592.22,0.72969,0.37232
592.42,0.72721,0.37266
592.62,0.72472,0.373
592.82,0.72224,0.37335
593.02,0.71975,0.37369
593.22,0.71725,0.37404
593.42,0.71475,0.37438
593.61,0.71237,0.37471
593.81,0.70987,0.37505
594.01,0.70737,0.37539
594.21,0.70485,0.37574
594.41,0.70233,0.37608
594.61,0.69981,0.37643
594.81,0.69729,0.37677
595.01,0.69477,0.37711
595.21,0.69224,0.37746
595.4,0.68983,0.37778
595.6,0.68729,0.37813
595.8,0.68476,0.37847
596,0.68222,0.37882
596.2,0.67967,0.37916
596.4,0.67712,0.3795
596.6,0.67457,0.37985
596.8,0.67202,0.38019
596.99,0.6696,0.38052
597.19,0.66704,0.38086
597.39,0.66448,0.38121
597.59,0.66192,0.38155
597.79,0.65936,0.38189
597.99,0.6568,0.38224
598.19,0.65424,0.38258
598.39,0.65167,0.38292
598.58,0.64923,0.38325
598.78,0.64667,0.38359
598.98,0.6441,0.38394
599.18,0.64153,0.38428
599.38,0.63896,0.38463
599.58,0.63639,0.38497
599.78,0.63383,0.38531
599.97,0.63139,0.38564
600.17,0.62882,0.38598
600.37,0.62625,0.38633
600.57,0.62368,0.38667
600.77,0.62111,0.38702
600.97,0.61854,0.38736
601.16,0.6161,0.38769
601.36,0.61353,0.38803
601.56,0.61096,0.38837
601.76,0.6084,0.38872
601.96,0.60583,0.38906
602.16,0.60326,0.38941
602.35,0.60082,0.38973
602.55,0.59825,0.39008
602.75,0.59569,0.39042
602.95,0.59312,0.39076
603.15,0.59055,0.39111
603.35,0.58798,0.39145
